JM SMUCKER COMPANY            ,Mcdonough,GA,33.455,-84.1721,Charlotte,NC,35.2805,-80.7568,3128.0
UNIPRO - NATIONAL FROZEN FOODS,Mcdonough,GA,33.455,-84.1721,Kennesaw,GA,34.0389,-84.5971,6615.0
PINNACLE FOODS GROUP LLC      ,Mcdonough,GA,33.455,-84.1721,Macclenny,FL,30.2677,-82.1246,11581.9
GENERAL MILLS OPERATIONS      ,Mcdonough,GA,33.455,-84.1721,Scranton,SC,33.9279,-79.7643,34550.0
POM WONDERFUL LLC             ,Mcdonough,GA,33.455,-84.1721,Jacksonville,FL,30.3296,-81.8086,5749.42
"SAPUTO DAIRY FOODS USA, LLC   ",Mcdonough,GA,33.455,-84.1721,Florence,SC,34.2013,-79.7172,6922.31
DAWN FOOD PRODUCTS INC        ,Mcdonough,GA,33.455,-84.1721,Brundidge,AL,31.6784,-85.8242,8229.9
"READY PAC FOODS, INC          ",Mcdonough,GA,33.455,-84.1721,Jackson,GA,33.2945,-83.9757,13974.8
MAPLEHURST BAKERIES           ,Mcdonough,GA,33.455,-84.1721,Greenville,SC,34.8256,-82.341,32362.1
CALAVO GROWERS                ,Mcdonough,GA,33.455,-84.1721,Fort Mill,SC,35.0084,-80.9164,260.0
TALENTI GELATO                ,Mcdonough,GA,33.455,-84.1721,Winter Haven,FL,28.052,-81.7246,4936.4
US FOODS                      ,Mcdonough,GA,33.455,-84.1721,Daytona Beach,FL,29.1055,-81.0864,9800.0
GOLDEN BAY FOODS              ,Mcdonough,GA,33.455,-84.1721,Zebulon,NC,35.848,-78.3014,27415.4
HONEY BAKED HAMS              ,Mcdonough,GA,33.455,-84.1721,Carrollton,GA,33.5885,-85.1062,93.0
RICH PRODUCTS CORP.           ,Mcdonough,GA,33.455,-84.1721,Statesboro,GA,32.4231,-81.8068,3788.8
PILGRIMS PRIDE FOODSERVICE    ,Sunnyvale,TX,32.8036,-96.5696,Portland,OR,45.4426,-122.618,10.9
NATURE SWEET                  ,Sunnyvale,TX,32.8036,-96.5696,Caldwell,NJ,40.7919,-74.2452,3543.79
JOHN SOULES FOODS             ,Allentown,PA,40.5693,-75.5889,Sunbury,PA,40.8561,-76.7712,5487.3
"BEF FOODS, INC.               ",Springfield,OH,39.9266,-83.8128,Ankeny,IA,41.7253,-93.6048,0.0
ASIAN FOOD SOLUTIONS          ,Sunnyvale,TX,32.8036,-96.5696,Waukesha,WI,43.0153,-88.2092,251.46
FARMLAND FOODS-PORK ACCT      ,Denison,IA,42.0193,-95.3538,Wilmington,IL,41.2982,-88.1464,12344.2
CSM BAKERY PRODUCTS           ,Kansas City,KS,39.0766,-94.7902,Albuquerque,NM,35.1964,-106.673,58.0
JOHN MORRELL FOOD GROUP       ,Kansas City,KS,39.0766,-94.7902,Tacoma,WA,47.2422,-122.359,4302.03
ARMOUR ECKRICH                ,Kansas City,KS,39.0766,-94.7902,Sacramento,CA,38.4775,-121.446,692.862
LEPRINO FOODS DAIRY PRODUCTS  ,Grand Island,NE,40.9169,-98.3875,Greeley,CO,40.4079,-104.755,3181.5
TURKEY HILL DAIRY             ,Kansas City,KS,39.0766,-94.7902,Minneapolis,MN,45.002,-93.4242,18781.6
PATRICK CUDAHY                ,Kansas City,KS,39.0766,-94.7902,Denver,CO,39.7388,-104.408,1816.86
TYSON FOODS                   ,Jackson,MS,32.2304,-90.1621,Russellville,AR,35.3088,-93.1091,41281.5
SWIFT & COMPANY               ,Grand Island,NE,40.9169,-98.3875,Carson,CA,33.8238,-118.267,12671.2
DARLING INTERNATIONAL         ,Grand Island,NE,40.9169,-98.3875,Topeka,KS,39.0562,-95.6755,44182.0
CHARLEY & SONS                ,Kansas City,KS,39.0766,-94.7902,Olney,IL,38.7246,-88.0866,1840.05
US BAKERY                     ,Centralia,WA,46.7284,-122.951,Grandview,WA,46.2601,-119.906,1848.0
SEABOARD MILITARY             ,Kansas City,KS,39.0766,-94.7902,Saint Joseph,MO,39.7077,-94.8735,78.66
UNILEVER ASCC AG              ,Kansas City,KS,39.0766,-94.7902,Indianola,MS,33.4514,-90.6582,31812.4
GENESIS TODAY                 ,Kansas City,KS,39.0766,-94.7902,Terrell,TX,32.7477,-96.2892,3192.01
KC SAUSAGE COMPANY            ,Kansas City,KS,39.0766,-94.7902,Clarksville,AR,35.4901,-93.4851,9054.0
TYSON FOODS  (MAIL- ARO7688)  ,Kansas City,KS,39.0766,-94.7902,Olathe,KS,38.8605,-94.7758,37371.8
THE PERFECT BITE              ,Kansas City,KS,39.0766,-94.7902,Westfield,MA,42.1336,-72.7503,2494.8
SKINNER BAKERY                ,Kansas City,KS,39.0766,-94.7902,Los Lunas,NM,34.7861,-106.705,5499.0
WEST LIBERTY FOODS            ,Mount Pleasant,IA,40.974,-91.572,Montgomery City,MO,38.9736,-91.5356,0.0
POM WONDERFUL                 ,Mira Loma,CA,34.0018,-117.528,Bedford,PA,39.9981,-78.522,782.0
BOULDER BRANDS                ,Mira Loma,CA,34.0018,-117.528,Tempe,AZ,33.4269,-111.927,6292.68
"GENERAL MILLS, INC            ",Des Moines,IA,41.6376,-93.6164,Cincinnati,OH,39.1044,-84.5077,1957.5
ALTA DENA CERTIFIED DAIRY     ,Mira Loma,CA,34.0018,-117.528,Victorville,CA,34.4895,-117.353,746.65
OSI GROUP                     ,Mira Loma,CA,34.0018,-117.528,Riverside,CA,33.979,-117.336,42400.0
SWISS DAIRY                   ,Mira Loma,CA,34.0018,-117.528,Los Angeles,CA,34.1146,-118.192,2221.9
TROPICALE FOODS               ,Mira Loma,CA,34.0018,-117.528,Reno,NV,39.4999,-119.775,16868.5
NESTLE FROZEN FOOD COMPANY    ,Allentown,PA,40.5693,-75.5889,Streetsboro,OH,41.2494,-81.344,1453.0
IN 2 FOOD                     ,Mira Loma,CA,34.0018,-117.528,Carson,CA,33.8574,-118.256,208.8
