zipcoderegion,weight,totalcube
38,{'weight__sum': None},{'totalcube__sum': None}
37,{'weight__sum': None},{'totalcube__sum': None}
32,{'weight__sum': None},{'totalcube__sum': None}
30,{'weight__sum': 567572670.4883881},{'totalcube__sum': 0.0}
29,{'weight__sum': None},{'totalcube__sum': None}
22,{'weight__sum': None},{'totalcube__sum': None}
33,{'weight__sum': None},{'totalcube__sum': None}
28,{'weight__sum': 142053101.55990934},{'totalcube__sum': 0.0}
27,{'weight__sum': None},{'totalcube__sum': None}
19,{'weight__sum': None},{'totalcube__sum': None}
23,{'weight__sum': None},{'totalcube__sum': None}
36,{'weight__sum': None},{'totalcube__sum': None}
,{'weight__sum': 4352305224.770183},{'totalcube__sum': 0.0}
76,{'weight__sum': 249104829.3347721},{'totalcube__sum': 0.0}
35,{'weight__sum': 130842977.52363324},{'totalcube__sum': 0.0}
78,{'weight__sum': 19890386.13269043},{'totalcube__sum': 0.0}
84,{'weight__sum': 144244790.74796295},{'totalcube__sum': 0.0}
70,{'weight__sum': None},{'totalcube__sum': None}
65,{'weight__sum': None},{'totalcube__sum': None}
80,{'weight__sum': 126395442.51145744},{'totalcube__sum': 0.0}
87,{'weight__sum': None},{'totalcube__sum': None}
64,{'weight__sum': None},{'totalcube__sum': None}
31,{'weight__sum': None},{'totalcube__sum': None}
75,{'weight__sum': 203041633.60409355},{'totalcube__sum': 0.0}
10,{'weight__sum': None},{'totalcube__sum': None}
44,{'weight__sum': None},{'totalcube__sum': None}
50,{'weight__sum': 76470549.21517754},{'totalcube__sum': 0.0}
62,{'weight__sum': None},{'totalcube__sum': None}
15,{'weight__sum': None},{'totalcube__sum': None}
34,{'weight__sum': None},{'totalcube__sum': None}
73,{'weight__sum': None},{'totalcube__sum': None}
17,{'weight__sum': None},{'totalcube__sum': None}
12,{'weight__sum': None},{'totalcube__sum': None}
95,{'weight__sum': 43704135.73619175},{'totalcube__sum': 0.0}
21,{'weight__sum': None},{'totalcube__sum': None}
91,{'weight__sum': 194953999.7405753},{'totalcube__sum': 0.0}
89,{'weight__sum': None},{'totalcube__sum': None}
71,{'weight__sum': None},{'totalcube__sum': None}
92,{'weight__sum': None},{'totalcube__sum': None}
66,{'weight__sum': 665221022.008884},{'totalcube__sum': 0.0}
46,{'weight__sum': None},{'totalcube__sum': None}
74,{'weight__sum': None},{'totalcube__sum': None}
93,{'weight__sum': None},{'totalcube__sum': None}
39,{'weight__sum': 30023232.090637207},{'totalcube__sum': 0.0}
94,{'weight__sum': None},{'totalcube__sum': None}
48,{'weight__sum': None},{'totalcube__sum': None}
