iata,name,state,country,latitude,longitude,lineage,zipcoderegion
26.172-98.2504,Origin-Mcallen-TX,TX,USA,26.172,-98.2504,1,78
31.9017-106.418,Origin-El Paso-TX,TX,USA,31.9017,-106.418,1,79
32.2304-90.1621,Origin-Jackson-MS,MS,USA,32.2304,-90.1621,1,39
32.7984-97.354,Origin-Fort Worth-TX,TX,USA,32.7984,-97.354,1,76
32.8036-96.5696,Origin-Sunnyvale-TX,TX,USA,32.8036,-96.5696,1,75
33.455-84.1721,Origin-Mcdonough-GA,GA,USA,33.455,-84.1721,1,30
34.0018-117.528,Origin-Mira Loma-CA,CA,USA,34.0018,-117.528,1,91
34.0433-86.089,Origin-Attalla-AL,AL,USA,34.0433,-86.089,1,35
34.6317-102.727,Origin-Friona-TX,TX,USA,34.6317,-102.727,1,79
35.8406-80.8799,Origin-Statesville-NC,NC,USA,35.8406,-80.8799,1,28
37.7553-100.026,Origin-Dodge City-KS,KS,USA,37.7553,-100.026,1,67
37.8128-121.214,Origin-Manteca-CA,CA,USA,37.8128,-121.214,1,95
38.1417-85.8637,Origin-Louisville-KY,KY,USA,38.1417,-85.8637,1,40
39.0766-94.7902,Origin-Kansas City-KS,KS,USA,39.0766,-94.7902,1,66
39.9266-83.8128,Origin-Springfield-OH,OH,USA,39.9266,-83.8128,1,45
40.4218-104.692,Origin-Greeley-CO,CO,USA,40.4218,-104.692,1,80
40.5693-75.5889,Origin-Allentown-PA,PA,USA,40.5693,-75.5889,1,18
40.8556-96.713,Origin-Lincoln-NE,NE,USA,40.8556,-96.713,1,68
40.9169-98.3875,Origin-Grand Island-NE,NE,USA,40.9169,-98.3875,1,68
40.974-91.572,Origin-Mount Pleasant-IA,IA,USA,40.974,-91.572,1,52
41.2046-96.1211,Origin-Omaha-NE,NE,USA,41.2046,-96.1211,1,68
41.2052-95.9554,Origin-Omaha-NE,NE,USA,41.2052,-95.9554,1,68
41.6376-93.6164,Origin-Des Moines-IA,IA,USA,41.6376,-93.6164,1,50
41.6499-91.5202,Origin-Iowa City-IA,IA,USA,41.6499,-91.5202,1,52
41.6887-112.223,Origin-Tremonton-UT,UT,USA,41.6887,-112.223,1,84
41.8452-88.31,Origin-Batavia-IL,IL,USA,41.8452,-88.31,1,60
41.8857-88.3196,Origin-Geneva-IL,IL,USA,41.8857,-88.3196,1,60
42.0193-95.3538,Origin-Denison-IA,IA,USA,42.0193,-95.3538,1,51
46.7284-122.951,Origin-Centralia-WA,WA,USA,46.7284,-122.951,1,98
18.1294-66.2654,Destination-Aibonito-PR,PR,USA,18.1294,-66.2654,0,00
18.2339-66.045,Destination-Caguas-PR,PR,USA,18.2339,-66.045,0,00
18.3614-66.0562,Destination-San Juan-PR,PR,USA,18.3614,-66.0562,0,00
18.3871-66.1594,Destination-Bayamon-PR,PR,USA,18.3871,-66.1594,0,00
18.3985-66.1152,Destination-Guaynabo-PR,PR,USA,18.3985,-66.1152,0,00
18.4093-65.9931,Destination-Carolina-PR,PR,USA,18.4093,-65.9931,0,00
18.4105-66.0605,Destination-San Juan-PR,PR,USA,18.4105,-66.0605,0,00
18.4124-66.0907,Destination-San Juan-PR,PR,USA,18.4124,-66.0907,0,00
18.4125-66.1603,Destination-Bayamon-PR,PR,USA,18.4125,-66.1603,0,00
18.4144-65.9758,Destination-Carolina-PR,PR,USA,18.4144,-65.9758,0,00
18.4315-66.117,Destination-Guaynabo-PR,PR,USA,18.4315,-66.117,0,00
18.4377-66.1385,Destination-Catano-PR,PR,USA,18.4377,-66.1385,0,00
18.4407-66.3921,Destination-Vega Baja-PR,PR,USA,18.4407,-66.3921,0,00
18.4432-66.1393,Destination-Catano-PR,PR,USA,18.4432,-66.1393,0,00
18.4511-66.078,Destination-San Juan-PR,PR,USA,18.4511,-66.078,0,00
19.4946-154.927,Destination-Pahoa-HI,HI,USA,19.4946,-154.927,0,96
