zipcoderegion,weight,totalcube,origin
18,{'weight__sum': 422534734.8069361},{'totalcube__sum': 0.0},1
28,{'weight__sum': 142053101.55990934},{'totalcube__sum': 0.0},1
30,{'weight__sum': 567572670.4883881},{'totalcube__sum': 0.0},1
35,{'weight__sum': 130842977.52363324},{'totalcube__sum': 0.0},1
39,{'weight__sum': 30023232.090637207},{'totalcube__sum': 0.0},1
40,{'weight__sum': 141355062.72855663},{'totalcube__sum': 0.0},1
45,{'weight__sum': 164126085.27609634},{'totalcube__sum': 0.0},1
50,{'weight__sum': 76470549.21517754},{'totalcube__sum': 0.0},1
51,{'weight__sum': 41452445.87878418},{'totalcube__sum': 0.0},1
52,{'weight__sum': 177766139.92017126},{'totalcube__sum': 0.0},1
60,{'weight__sum': 567098152.4642258},{'totalcube__sum': 0.0},1
66,{'weight__sum': 665221022.008884},{'totalcube__sum': 0.0},1
67,{'weight__sum': 12822506.976928711},{'totalcube__sum': 0.0},1
68,{'weight__sum': 197821384.6944437},{'totalcube__sum': 0.0},1
75,{'weight__sum': 203041633.60409355},{'totalcube__sum': 0.0},1
76,{'weight__sum': 249104829.3347721},{'totalcube__sum': 0.0},1
78,{'weight__sum': 19890386.13269043},{'totalcube__sum': 0.0},1
79,{'weight__sum': 6325663.562515259},{'totalcube__sum': 0.0},1
80,{'weight__sum': 126395442.51145744},{'totalcube__sum': 0.0},1
84,{'weight__sum': 144244790.74796295},{'totalcube__sum': 0.0},1
91,{'weight__sum': 194953999.7405753},{'totalcube__sum': 0.0},1
95,{'weight__sum': 43704135.73619175},{'totalcube__sum': 0.0},1
98,{'weight__sum': 27484277.76715088},{'totalcube__sum': 0.0},1
38,{'weight__sum': 40410863.14391756},{'totalcube__sum': 0.0},0
37,{'weight__sum': 53369207.19607222},{'totalcube__sum': 0.0},0
32,{'weight__sum': 128997255.37707007},{'totalcube__sum': 0.0},0
30,{'weight__sum': 166583398.5703206},{'totalcube__sum': 0.0},0
29,{'weight__sum': 81485382.48849225},{'totalcube__sum': 0.0},0
22,{'weight__sum': 34624672.71842146},{'totalcube__sum': 0.0},0
33,{'weight__sum': 162973158.24790502},{'totalcube__sum': 0.0},0
28,{'weight__sum': 87018893.85522878},{'totalcube__sum': 0.0},0
27,{'weight__sum': 77697257.58945727},{'totalcube__sum': 0.0},0
19,{'weight__sum': 27950728.98197031},{'totalcube__sum': 0.0},0
23,{'weight__sum': 24717012.330129385},{'totalcube__sum': 0.0},0
36,{'weight__sum': 76499714.29172039},{'totalcube__sum': 0.0},0
,{'weight__sum': 4352305224.770183},{'totalcube__sum': 0.0},0
76,{'weight__sum': 127524012.8821311},{'totalcube__sum': 0.0},0
35,{'weight__sum': 36948318.86835146},{'totalcube__sum': 0.0},0
78,{'weight__sum': 84720547.75835454},{'totalcube__sum': 0.0},0
84,{'weight__sum': 53490543.622639656},{'totalcube__sum': 0.0},0
70,{'weight__sum': 54918866.41854715},{'totalcube__sum': 0.0},0
65,{'weight__sum': 33271246.410078287},{'totalcube__sum': 0.0},0
80,{'weight__sum': 53850573.503857136},{'totalcube__sum': 0.0},0
87,{'weight__sum': 18562078.605493546},{'totalcube__sum': 0.0},0
64,{'weight__sum': 18592064.536825895},{'totalcube__sum': 0.0},0
31,{'weight__sum': 14515533.86886549},{'totalcube__sum': 0.0},0
75,{'weight__sum': 81100105.45163941},{'totalcube__sum': 0.0},0
10,{'weight__sum': 14942291.689568877},{'totalcube__sum': 0.0},0
44,{'weight__sum': 40695830.608091354},{'totalcube__sum': 0.0},0
50,{'weight__sum': 71944397.83159113},{'totalcube__sum': 0.0},0
62,{'weight__sum': 52447639.43792629},{'totalcube__sum': 0.0},0
15,{'weight__sum': 37615827.61932635},{'totalcube__sum': 0.0},0
34,{'weight__sum': 12286035.926505089},{'totalcube__sum': 0.0},0
73,{'weight__sum': 38131287.64898884},{'totalcube__sum': 0.0},0
17,{'weight__sum': 98178250.97108233},{'totalcube__sum': 0.0},0
12,{'weight__sum': 27755153.39624107},{'totalcube__sum': 0.0},0
95,{'weight__sum': 96055319.15206099},{'totalcube__sum': 0.0},0
21,{'weight__sum': 39436040.26141858},{'totalcube__sum': 0.0},0
91,{'weight__sum': 52792288.182198286},{'totalcube__sum': 0.0},0
89,{'weight__sum': 22700263.685893536},{'totalcube__sum': 0.0},0
71,{'weight__sum': 2211998.0182266235},{'totalcube__sum': 0.0},0
92,{'weight__sum': 83944882.03623497},{'totalcube__sum': 0.0},0
66,{'weight__sum': 118948014.24520111},{'totalcube__sum': 0.0},0
46,{'weight__sum': 112068723.43488693},{'totalcube__sum': 0.0},0
74,{'weight__sum': 14758094.78123951},{'totalcube__sum': 0.0},0
93,{'weight__sum': 16261420.606090784},{'totalcube__sum': 0.0},0
39,{'weight__sum': 7710002.628231525},{'totalcube__sum': 0.0},0
94,{'weight__sum': 54475624.906434774},{'totalcube__sum': 0.0},0
48,{'weight__sum': 65173733.52524412},{'totalcube__sum': 0.0},0
24,{'weight__sum': 27241192.343465805},{'totalcube__sum': 0.0},0
97,{'weight__sum': 43954765.27295816},{'totalcube__sum': 0.0},0
11,{'weight__sum': 14366203.76772964},{'totalcube__sum': 0.0},0
83,{'weight__sum': 12931402.866986275},{'totalcube__sum': 0.0},0
60,{'weight__sum': 115901986.33631432},{'totalcube__sum': 0.0},0
90,{'weight__sum': 151619472.9026265},{'totalcube__sum': 0.0},0
01,{'weight__sum': 38238329.35260475},{'totalcube__sum': 0.0},0
02,{'weight__sum': 23187992.49921727},{'totalcube__sum': 0.0},0
43,{'weight__sum': 67829073.07844365},{'totalcube__sum': 0.0},0
40,{'weight__sum': 91307917.16067433},{'totalcube__sum': 0.0},0
47,{'weight__sum': 13079949.938453197},{'totalcube__sum': 0.0},0
07,{'weight__sum': 27663879.69745338},{'totalcube__sum': 0.0},0
77,{'weight__sum': 129683655.40578651},{'totalcube__sum': 0.0},0
85,{'weight__sum': 51968468.84639728},{'totalcube__sum': 0.0},0
63,{'weight__sum': 32589624.779328346},{'totalcube__sum': 0.0},0
79,{'weight__sum': 22985795.46417761},{'totalcube__sum': 0.0},0
72,{'weight__sum': 46933423.96811938},{'totalcube__sum': 0.0},0
14,{'weight__sum': 26148719.486893654},{'totalcube__sum': 0.0},0
53,{'weight__sum': 78354931.48391986},{'totalcube__sum': 0.0},0
18,{'weight__sum': 48308789.390164375},{'totalcube__sum': 0.0},0
81,{'weight__sum': 362250.36168920994},{'totalcube__sum': 0.0},0
98,{'weight__sum': 80870913.63785219},{'totalcube__sum': 0.0},0
99,{'weight__sum': 4282314.740896225},{'totalcube__sum': 0.0},0
86,{'weight__sum': 77501.23508501053},{'totalcube__sum': 0.0},0
45,{'weight__sum': 52970013.05872011},{'totalcube__sum': 0.0},0
59,{'weight__sum': 10851121.400334597},{'totalcube__sum': 0.0},0
61,{'weight__sum': 57616938.28083992},{'totalcube__sum': 0.0},0
20,{'weight__sum': 33548109.26564902},{'totalcube__sum': 0.0},0
49,{'weight__sum': 22515565.772310257},{'totalcube__sum': 0.0},0
56,{'weight__sum': 11123183.274989605},{'totalcube__sum': 0.0},0
55,{'weight__sum': 53925582.04729009},{'totalcube__sum': 0.0},0
06,{'weight__sum': 36091504.125332355},{'totalcube__sum': 0.0},0
54,{'weight__sum': 38949931.12692976},{'totalcube__sum': 0.0},0
68,{'weight__sum': 44291642.81264019},{'totalcube__sum': 0.0},0
13,{'weight__sum': 15871034.909443617},{'totalcube__sum': 0.0},0
67,{'weight__sum': 4718317.454947948},{'totalcube__sum': 0.0},0
08,{'weight__sum': 60063794.91579306},{'totalcube__sum': 0.0},0
41,{'weight__sum': 2541101.1168950796},{'totalcube__sum': 0.0},0
57,{'weight__sum': 6944577.433344841},{'totalcube__sum': 0.0},0
25,{'weight__sum': 4019134.0353991985},{'totalcube__sum': 0.0},0
58,{'weight__sum': 13818944.346184254},{'totalcube__sum': 0.0},0
04,{'weight__sum': 22402125.27281165},{'totalcube__sum': 0.0},0
96,{'weight__sum': 3851891.9879188538},{'totalcube__sum': 0.0},0
00,{'weight__sum': 5374819.507838249},{'totalcube__sum': 0.0},0
82,{'weight__sum': 8677636.985801697},{'totalcube__sum': 0.0},0
69,{'weight__sum': 9972273.639266968},{'totalcube__sum': 0.0},0
42,{'weight__sum': 3192486.393924713},{'totalcube__sum': 0.0},0
88,{'weight__sum': 1906682.9828939438},{'totalcube__sum': 0.0},0
26,{'weight__sum': 574349.3068790436},{'totalcube__sum': 0.0},0
52,{'weight__sum': 10452444.339121342},{'totalcube__sum': 0.0},0
51,{'weight__sum': 28696873.98794651},{'totalcube__sum': 0.0},0
V3,{'weight__sum': None},{'totalcube__sum': None},0
03,{'weight__sum': 2482774.189356327},{'totalcube__sum': 0.0},0
M9,{'weight__sum': None},{'totalcube__sum': None},0
16,{'weight__sum': 11137800.767605424},{'totalcube__sum': 0.0},0
V6,{'weight__sum': None},{'totalcube__sum': None},0
 9,{'weight__sum': None},{'totalcube__sum': None},0
V2,{'weight__sum': None},{'totalcube__sum': None},0
05,{'weight__sum': 3479458.7043640614},{'totalcube__sum': 0.0},0
L1,{'weight__sum': None},{'totalcube__sum': None},0
L9,{'weight__sum': None},{'totalcube__sum': None},0
M8,{'weight__sum': None},{'totalcube__sum': None},0
II,{'weight__sum': None},{'totalcube__sum': None},0
H4,{'weight__sum': None},{'totalcube__sum': None},0
K1,{'weight__sum': None},{'totalcube__sum': None},0
L2,{'weight__sum': None},{'totalcube__sum': None},0
N3,{'weight__sum': None},{'totalcube__sum': None},0
J4,{'weight__sum': None},{'totalcube__sum': None},0
E1,{'weight__sum': None},{'totalcube__sum': None},0
NO,{'weight__sum': None},{'totalcube__sum': None},0
L5,{'weight__sum': None},{'totalcube__sum': None},0
M4,{'weight__sum': None},{'totalcube__sum': None},0
M1,{'weight__sum': None},{'totalcube__sum': None},0
V9,{'weight__sum': None},{'totalcube__sum': None},0
T2,{'weight__sum': None},{'totalcube__sum': None},0
L6,{'weight__sum': None},{'totalcube__sum': None},0
NJ,{'weight__sum': None},{'totalcube__sum': None},0
DU,{'weight__sum': None},{'totalcube__sum': None},0
V7,{'weight__sum': None},{'totalcube__sum': None},0
 7,{'weight__sum': None},{'totalcube__sum': None},0
V4,{'weight__sum': None},{'totalcube__sum': None},0
V8,{'weight__sum': None},{'totalcube__sum': None},0
L3,{'weight__sum': None},{'totalcube__sum': None},0
  ,{'weight__sum': None},{'totalcube__sum': None},0
V5,{'weight__sum': None},{'totalcube__sum': None},0
H7,{'weight__sum': None},{'totalcube__sum': None},0
L4,{'weight__sum': None},{'totalcube__sum': None},0
`7,{'weight__sum': None},{'totalcube__sum': None},0
K8,{'weight__sum': None},{'totalcube__sum': None},0
L8,{'weight__sum': None},{'totalcube__sum': None},0
J2,{'weight__sum': None},{'totalcube__sum': None},0
C.,{'weight__sum': None},{'totalcube__sum': None},0
J3,{'weight__sum': None},{'totalcube__sum': None},0
H1,{'weight__sum': None},{'totalcube__sum': None},0
PO,{'weight__sum': None},{'totalcube__sum': None},0
OR,{'weight__sum': None},{'totalcube__sum': None},0
H9,{'weight__sum': None},{'totalcube__sum': None},0
WA,{'weight__sum': None},{'totalcube__sum': None},0
NY,{'weight__sum': None},{'totalcube__sum': None},0
CO,{'weight__sum': None},{'totalcube__sum': None},0
 3,{'weight__sum': None},{'totalcube__sum': None},0
N6,{'weight__sum': None},{'totalcube__sum': None},0
K7,{'weight__sum': None},{'totalcube__sum': None},0
R3,{'weight__sum': None},{'totalcube__sum': None},0
L7,{'weight__sum': None},{'totalcube__sum': None},0
M5,{'weight__sum': None},{'totalcube__sum': None},0
QC,{'weight__sum': None},{'totalcube__sum': None},0
H3,{'weight__sum': None},{'totalcube__sum': None},0
BC,{'weight__sum': None},{'totalcube__sum': None},0
ON,{'weight__sum': None},{'totalcube__sum': None},0
M2,{'weight__sum': None},{'totalcube__sum': None},0
T7,{'weight__sum': None},{'totalcube__sum': None},0
S4,{'weight__sum': None},{'totalcube__sum': None},0
S0,{'weight__sum': None},{'totalcube__sum': None},0
HU,{'weight__sum': None},{'totalcube__sum': None},0
B3,{'weight__sum': None},{'totalcube__sum': None},0
N5,{'weight__sum': None},{'totalcube__sum': None},0
Q,{'weight__sum': None},{'totalcube__sum': None},0
X,{'weight__sum': None},{'totalcube__sum': None},0
F,{'weight__sum': None},{'totalcube__sum': None},0
`,{'weight__sum': None},{'totalcube__sum': None},0
09,{'weight__sum': None},{'totalcube__sum': None},0
0H,{'weight__sum': None},{'totalcube__sum': None},0
WE,{'weight__sum': None},{'totalcube__sum': None},0
N2,{'weight__sum': None},{'totalcube__sum': None},0
M3,{'weight__sum': None},{'totalcube__sum': None},0
H8,{'weight__sum': None},{'totalcube__sum': None},0
0,{'weight__sum': 218984678.2647711},{'totalcube__sum': 0.0},0
J7,{'weight__sum': None},{'totalcube__sum': None},0
B4,{'weight__sum': None},{'totalcube__sum': None},0
 8,{'weight__sum': None},{'totalcube__sum': None},0
N4,{'weight__sum': None},{'totalcube__sum': None},0
JO,{'weight__sum': None},{'totalcube__sum': None},0
K9,{'weight__sum': None},{'totalcube__sum': None},0
1C,{'weight__sum': None},{'totalcube__sum': None},0
