iata,name,state,country,latitude,longitude,lineage
Z01001,Origin-Agawam-MA,MA,USA,42.0707,-72.6202,0
Z01013,Origin-Chicopee-MA,MA,USA,42.1616,-72.6031,0
Z01038,Origin-Hatfield-MA,MA,USA,42.3752,-72.6082,0
Z01040,Origin-Holyoke-MA,MA,USA,42.202,-72.6241,0
Z01056,Origin-Ludlow-MA,MA,USA,42.1749,-72.4706,0
Z01069,Origin-Palmer-MA,MA,USA,42.1765,-72.3264,0
Z01085,Origin-Westfield-MA,MA,USA,42.1336,-72.7502,0
Z01089,Origin-West Springfield-MA,MA,USA,42.1128,-72.6406,0
Z01104,Origin-Springfield-MA,MA,USA,42.1304,-72.5733,0
Z01105,Origin-Springfield-MA,MA,USA,42.0967,-72.5798,0
Z01129,Origin-Springfield-MA,MA,USA,42.1211,-72.4895,0
Z01201,Origin-Pittsfield-MA,MA,USA,42.4539,-73.254,0
Z01420,Origin-Fitchburg-MA,MA,USA,42.5787,-71.8033,0
Z01432,Origin-Ayer-MA,MA,USA,42.5499,-71.5913,0
Z01460,Origin-Littleton-MA,MA,USA,42.5401,-71.4908,0
Z01536,Origin-North Grafton-MA,MA,USA,42.2315,-71.7051,0
Z01570,Origin-Webster-MA,MA,USA,42.0478,-71.861,0
Z01581,Origin-Westborough-MA,MA,USA,42.2699,-71.6141,0
Z01590,Origin-Sutton-MA,MA,USA,42.131,-71.7512,0
Z01601,Origin-Worcester-MA,MA,USA,42.2654,-71.8794,0
Z01610,Origin-Worcester-MA,MA,USA,42.2486,-71.8078,0
Z01752,Origin-Marlborough-MA,MA,USA,42.351,-71.5475,0
Z01801,Origin-Woburn-MA,MA,USA,42.4846,-71.152,0
Z01824,Origin-Chelmsford-MA,MA,USA,42.5955,-71.3543,0
Z01830,Origin-Haverhill-MA,MA,USA,42.7852,-71.0701,0
Z01832,Origin-Haverhill-MA,MA,USA,42.7815,-71.1102,0
Z01835,Origin-Haverhill-MA,MA,USA,42.7578,-71.0851,0
Z01841,Origin-Lawrence-MA,MA,USA,42.7117,-71.1666,0
Z01843,Origin-Lawrence-MA,MA,USA,42.6912,-71.1607,0
