iata,name,state,country,latitude,longitude,lineage
33.455-84.1721,Origin-Mcdonough-GA,GA,USA,33.455,-84.1721,1
32.8036-96.5696,Origin-Sunnyvale-TX,TX,USA,32.8036,-96.5696,1
42.0193-95.3538,Origin-Denison-IA,IA,USA,42.0193,-95.3538,1
39.0766-94.7902,Origin-Kansas City-KS,KS,USA,39.0766,-94.7902,1
40.9169-98.3875,Origin-Grand Island-NE,NE,USA,40.9169,-98.3875,1
41.6499-91.5202,Origin-Iowa City-IA,IA,USA,41.6499,-91.5202,1
34.0018-117.528,Origin-Mira Loma-CA,CA,USA,34.0018,-117.528,1
31.9017-106.418,Origin-El Paso-TX,TX,USA,31.9017,-106.418,1
37.8128-121.214,Origin-Manteca-CA,CA,USA,37.8128,-121.214,1
41.2046-96.1211,Origin-Omaha-NE,NE,USA,41.2046,-96.1211,1
41.2052-95.9554,Origin-Omaha-NE,NE,USA,41.2052,-95.9554,1
40.5693-75.5889,Origin-Allentown-PA,PA,USA,40.5693,-75.5889,1
41.8857-88.3196,Origin-Geneva-IL,IL,USA,41.8857,-88.3196,1
34.0433-86.089,Origin-Attalla-AL,AL,USA,34.0433,-86.089,1
35.8406-80.8799,Origin-Statesville-NC,NC,USA,35.8406,-80.8799,1
40.974-91.572,Origin-Mount Pleasant-IA,IA,USA,40.974,-91.572,1
38.1417-85.8637,Origin-Louisville-KY,KY,USA,38.1417,-85.8637,1
39.9266-83.8128,Origin-Springfield-OH,OH,USA,39.9266,-83.8128,1
32.7984-97.354,Origin-Fort Worth-TX,TX,USA,32.7984,-97.354,1
40.8556-96.713,Origin-Lincoln-NE,NE,USA,40.8556,-96.713,1
40.4218-104.692,Origin-Greeley-CO,CO,USA,40.4218,-104.692,1
37.7553-100.026,Origin-Dodge City-KS,KS,USA,37.7553,-100.026,1
46.7284-122.951,Origin-Centralia-WA,WA,USA,46.7284,-122.951,1
32.2304-90.1621,Origin-Jackson-MS,MS,USA,32.2304,-90.1621,1
34.6317-102.727,Origin-Friona-TX,TX,USA,34.6317,-102.727,1
41.8452-88.31,Origin-Batavia-IL,IL,USA,41.8452,-88.31,1
41.6376-93.6164,Origin-Des Moines-IA,IA,USA,41.6376,-93.6164,1
41.6887-112.223,Origin-Tremonton-UT,UT,USA,41.6887,-112.223,1
26.172-98.2504,Origin-Mcallen-TX,TX,USA,26.172,-98.2504,1
