origin,destination,count
Z01001,Z30213,1
Z01013,Z01960,12
Z01013,Z12065,107
Z01013,Z18109,46
Z01013,Z25526,3
Z01013,Z44087,7
Z01013,Z46038,0
Z01038,Z06360,16
Z01038,Z12065,13
Z01040,Z18109,0
Z01056,Z01960,211
Z01056,Z06360,341
Z01056,Z08014,305
Z01056,Z08085,233
Z01056,Z08861,671
Z01056,Z12065,1
Z01069,Z06360,1
Z01085,Z01960,1436
Z01085,Z06360,847
Z01085,Z08014,614
Z01085,Z08085,1143
Z01085,Z08861,2050
Z01085,Z12065,982
Z01085,Z14224,1119
Z01085,Z15601,1463
Z01085,Z16601,622
Z01085,Z18109,1331
Z01085,Z20109,893
Z01085,Z21144,768
Z01085,Z24153,767
Z01085,Z25526,83
Z01085,Z27597,1051
Z01085,Z28269,735
Z01085,Z29072,1417
Z01085,Z29715,2245
Z01085,Z30213,1973
Z01085,Z32124,519
Z01085,Z33487,640
Z01085,Z33610,1105
Z01085,Z33801,385
Z01085,Z36108,848
Z01085,Z37701,499
Z01085,Z38141,351
Z01085,Z44087,3
Z01089,Z33487,1
Z01104,Z08861,1
Z01105,Z12065,0
Z01129,Z21144,4
Z01201,Z12065,67
Z01201,Z14224,42
Z01420,Z01960,25
Z01420,Z06360,8
Z01420,Z21144,0
Z01432,Z01960,555
Z01432,Z06360,537
Z01432,Z08014,418
Z01432,Z08085,50
Z01432,Z08861,52
Z01432,Z12065,57
Z01432,Z14224,12
Z01432,Z15601,103
Z01432,Z16601,1
Z01432,Z18109,156
Z01432,Z18640,11
Z01432,Z20109,660
Z01432,Z21144,50
Z01432,Z25526,28
Z01432,Z27597,16
Z01432,Z29715,171
Z01432,Z30213,156
Z01432,Z36108,325
Z01432,Z44087,331
Z01432,Z45246,88
Z01432,Z46038,108
Z01432,Z48393,303
Z01432,Z53051,24
Z01432,Z55442,165
Z01432,Z60106,289
Z01432,Z61364,18
Z01432,Z63114,52
Z01432,Z77032,50
Z01432,Z78610,236
Z01432,Z80111,12
Z01432,Z90638,4
Z01432,Z92879,0
Z01460,Z48393,121
Z01536,Z01960,0
Z01536,Z06360,16
Z01570,Z25526,8
Z01581,Z12065,0
Z01590,Z01960,10
Z01590,Z06360,4
Z01601,Z01960,7
Z01601,Z06360,20
Z01610,Z01960,0
Z01610,Z06360,1
Z01610,Z21144,0
Z01752,Z01960,938
Z01752,Z06360,1301
Z01752,Z08014,1692
Z01752,Z08085,1240
Z01752,Z08861,1752
Z01752,Z14224,759
Z01752,Z15601,916
Z01752,Z18109,1316
Z01752,Z18640,839
Z01752,Z20109,525
Z01752,Z21144,1705
Z01752,Z24153,1183
Z01752,Z27597,833
Z01752,Z44087,510
Z01752,Z45246,353
Z01752,Z48393,744
Z01752,Z55442,1319
Z01801,Z01960,754
Z01801,Z06360,409
Z01801,Z12065,507
Z01801,Z14224,1
Z01801,Z15601,8
Z01801,Z18109,5
Z01801,Z44087,1
Z01801,Z45246,5
Z01824,Z06360,21
Z01830,Z01960,0
Z01832,Z01960,264
Z01832,Z06360,226
Z01832,Z08861,21
Z01832,Z12065,124
Z01832,Z14224,8
Z01832,Z18109,60
Z01832,Z21144,43
Z01835,Z01960,53
Z01835,Z06360,0
Z01841,Z01960,86
Z01841,Z06360,55
Z01843,Z06360,1
Z01843,Z18640,27
Z01843,Z44087,8
Z01843,Z55442,16
Z01844,Z06360,2
Z01845,Z01960,70
Z01845,Z06360,106
Z01845,Z08861,137
Z01845,Z12065,28
Z01845,Z14224,11
Z01845,Z18109,115
Z01845,Z18640,7
Z01852,Z01960,131
Z01852,Z06360,16
Z01852,Z33801,0
Z01876,Z01960,176
Z01876,Z06360,1
Z01876,Z12065,5
Z01876,Z29072,8
Z01880,Z06360,1
Z01880,Z18640,134
Z01880,Z21144,9
Z01880,Z28269,8
Z01880,Z48393,22
Z01880,Z53051,49
Z01887,Z01960,27
Z01887,Z06360,4
Z01887,Z44087,55
Z01887,Z45246,33
Z01887,Z48393,7
Z01890,Z01960,2
Z01901,Z01960,48
Z01901,Z06360,184
Z01901,Z37701,8
Z01902,Z01960,4
Z01903,Z01960,8
Z01905,Z01960,692
Z01905,Z06360,441
Z01905,Z12065,77
Z01905,Z14224,38
Z01905,Z15601,1
Z01905,Z18640,127
Z01930,Z01960,32
Z01930,Z06360,3
Z01930,Z08085,43
Z01930,Z08861,69
Z01930,Z27597,223
Z01930,Z28269,44
Z01930,Z29715,125
Z01930,Z30213,43
Z01930,Z33610,9
Z01930,Z45246,147
Z01930,Z46038,12
Z01930,Z48393,127
Z01930,Z63114,32
Z01930,Z66618,15
Z01930,Z75042,9
Z01930,Z80111,54
Z01930,Z92832,0
Z01960,Z01960,209
Z01960,Z06360,3707
Z01960,Z08014,79
Z01960,Z08085,65
Z01960,Z08861,107
Z01960,Z12065,357
Z01960,Z14224,151
Z01960,Z15601,376
Z01960,Z16601,109
Z01960,Z18109,130
Z01960,Z18640,2
Z01960,Z20109,0
Z01960,Z21144,71
Z01960,Z24153,160
Z01960,Z25526,3
Z01960,Z27597,118
Z01960,Z28269,146
Z01960,Z29072,1
Z01960,Z29715,127
Z01960,Z30213,13
Z01960,Z32124,141
Z01960,Z33610,216
Z01960,Z33801,57
Z01960,Z36108,91
Z01960,Z37701,141
Z01960,Z44087,353
Z01960,Z45246,308
Z01960,Z46038,247
Z01960,Z48393,368
Z01960,Z53051,152
Z01960,Z55442,475
Z01960,Z60106,59
Z01960,Z61364,138
Z01960,Z63114,299
Z01960,Z66618,30
Z01960,Z68110,150
Z01960,Z73131,1
Z01960,Z80111,23
Z01961,Z01960,0
Z01961,Z63114,5
Z01970,Z01960,5
Z02021,Z01960,208
Z02021,Z06360,242
Z02021,Z08014,0
Z02021,Z12065,0
Z02035,Z01960,110
Z02035,Z06360,60
Z02048,Z01960,2511
Z02048,Z06360,808
