origin,destination,count
40.4218-104.692,33.8238-118.267,2691.46953692627
32.7984-97.354,32.8765-97.4125,1717.045044556141
39.0766-94.7902,39.0657-94.9045,1487.2869693027496
38.1417-85.8637,37.1438-84.0784,1477.0423995241165
40.9169-98.3875,33.8238-118.267,1446.3660444824218
40.4218-104.692,29.6668-95.0449,1015.9784098876953
39.0766-94.7902,38.9722-94.8699,885.1592294921875
33.455-84.1721,26.3098-80.1455,881.8833665261745
33.455-84.1721,28.052-81.7246,877.972808483696
39.0766-94.7902,37.3783-122.024,877.1785885253906
34.0433-86.089,35.6792-78.6025,872.233088671875
33.455-84.1721,31.6784-85.8242,857.5970825016021
33.455-84.1721,33.9817-83.883,820.018762084651
33.455-84.1721,28.0429-81.9849,811.0244876073837
33.455-84.1721,30.2677-82.1246,807.6722266273498
33.455-84.1721,32.6605-85.3992,776.31236365242
39.0766-94.7902,40.9697-75.9904,770.4944686035157
34.0018-117.528,33.979-117.336,759.1370966964722
39.0766-94.7902,38.8605-94.7758,730.9676796020508
41.6887-112.223,34.0006-117.969,718.5162099609375
40.5693-75.5889,34.122-83.786,711.0396311710358
33.455-84.1721,33.786-83.699,702.2837209012985
41.8857-88.3196,39.9838-90.7413,662.6252536196708
41.2052-95.9554,41.2516-95.8745,661.1415788599014
33.455-84.1721,34.8256-82.341,654.6280837176323
39.0766-94.7902,39.5238-85.7721,647.1601736816406
33.455-84.1721,34.7693-80.3994,645.3191236366272
39.0766-94.7902,29.4943-98.4043,639.5421631004333
40.5693-75.5889,38.7902-77.5129,632.1337419769287
41.8857-88.3196,39.5238-85.7721,622.4871445800782
40.9169-98.3875,33.784-118.259,621.1249094360352
40.974-91.572,42.5322-83.5338,607.9674688476563
40.5693-75.5889,40.6851-76.2139,583.8394145011902
33.455-84.1721,33.7295-84.3409,573.5150005432129
33.455-84.1721,35.3024-78.6012,567.2294665374756
39.0766-94.7902,41.7253-93.6048,563.489645360136
40.5693-75.5889,38.9266-78.175,563.3169953674317
40.5693-75.5889,41.2513-75.4912,540.9566660491944
32.7984-97.354,40.3007-76.8853,539.659
40.4218-104.692,33.784-118.259,537.2342150390625
37.8128-121.214,37.3802-120.726,530.1525337080002
32.7984-97.354,29.4943-98.4043,521.1254334911347
38.1417-85.8637,41.4736-88.2917,491.372940625
40.5693-75.5889,40.3063-74.5263,487.2328875
39.0766-94.7902,42.1336-72.7503,486.46808116455077
35.8406-80.8799,47.5462-122.315,484.71445644531246
41.2052-95.9554,41.1759-96.1339,473.78040857238767
33.455-84.1721,33.9914-81.2505,464.69900064468385
41.6887-112.223,34.0773-117.622,464.01988046875
39.0766-94.7902,31.0995-97.3577,462.76779219665525
41.8857-88.3196,41.0289-93.2986,458.953897833252
39.0766-94.7902,40.2959-83.0697,458.12636787109375
33.455-84.1721,36.3407-78.3942,458.05216547451016
41.6887-112.223,33.4563-112.124,453.15355029296876
33.455-84.1721,35.6796-80.4665,450.7328750442505
33.455-84.1721,33.5657-84.5932,447.87656547117234
38.1417-85.8637,39.5238-85.7721,445.52442568359373
41.6887-112.223,40.4356-105.087,442.3273499023437
39.9266-83.8128,39.5238-85.7721,431.5061728759766
40.9169-98.3875,27.6488-99.5337,427.17634990234376
41.8857-88.3196,38.9266-78.175,426.18639541015625
33.455-84.1721,35.0084-80.9164,420.5997316531181
33.455-84.1721,35.4707-86.4597,415.4974428035736
38.1417-85.8637,28.4109-81.359,415.4847994140625
41.8452-88.31,39.8026-84.302,415.22736484374997
41.6887-112.223,38.5692-121.545,414.60803544921873
40.974-91.572,28.8064-96.9936,413.8053611816406
32.2304-90.1621,35.3088-93.1091,413.1951744140625
40.5693-75.5889,42.1336-72.7503,410.6819658554077
40.974-91.572,32.6855-96.9175,409.62648251953124
40.974-91.572,45.1976-93.571,409.54405146484373
40.974-91.572,39.2289-84.4571,409.52934013671876
40.974-91.572,33.3175-86.7873,407.39753437499996
41.8857-88.3196,42.7355-84.627,405.2883374176025
39.0766-94.7902,39.7397-104.809,403.9040352156162
33.455-84.1721,30.3296-81.8086,401.8005061706543
39.0766-94.7902,41.8138-89.7054,399.76959140167236
35.8406-80.8799,41.969-70.8045,398.9335807128906
41.8857-88.3196,42.5272-92.4561,392.45979178171154
39.0766-94.7902,30.1708-95.1783,390.2793083690643
46.7284-122.951,45.1444-122.845,386.8231547363281
42.0193-95.3538,38.7625-95.0062,382.2066298339844
40.9169-98.3875,29.6668-95.0449,378.49426091308595
32.8036-96.5696,29.4943-98.4043,373.9566285996437
40.5693-75.5889,40.0683-74.8446,372.05268557128903
35.8406-80.8799,41.6609-72.661,371.4388955078125
40.974-91.572,31.054-97.3203,370.37496674804686
39.9266-83.8128,40.2959-83.0697,367.003225415039
40.4218-104.692,41.8334-111.859,366.4596108886719
39.0766-94.7902,42.8843-87.8992,364.320241986084
33.455-84.1721,36.1169-79.8829,364.0844458740234
33.455-84.1721,28.576-81.4437,360.6138153274536
41.6887-112.223,36.8016-119.889,360.4374453125
33.455-84.1721,30.2161-82.6396,351.46518154907227
40.974-91.572,37.6309-91.5142,350.0509107421875
32.7984-97.354,30.1708-95.1783,349.8104954925537
34.0018-117.528,33.4354-112.2,348.6005885334015
33.455-84.1721,35.848-78.3014,348.46357447509763
39.0766-94.7902,32.7477-96.2892,346.1053979156494
39.0766-94.7902,37.7237-121.447,344.6713453531265
34.0433-86.089,30.4033-91.0804,343.9673169921875
40.5693-75.5889,39.9981-78.522,343.1771374751091
33.455-84.1721,33.2945-83.9757,342.20701497802736
41.6887-112.223,45.1444-122.845,341.7931375
32.2304-90.1621,36.3422-94.0714,339.215284765625
32.8036-96.5696,32.77-96.69,338.7725311161041
41.8857-88.3196,41.099-80.7455,335.76170786743165
40.974-91.572,38.1906-85.5535,335.3228205078125
40.5693-75.5889,43.0145-74.3847,334.2224755722046
39.0766-94.7902,38.7246-88.0866,333.8683157913208
33.455-84.1721,36.0839-79.9412,333.7402278930664
33.455-84.1721,28.0412-81.9239,333.4170869628906
33.455-84.1721,33.6154-84.4903,332.75615523681637
33.455-84.1721,32.3532-86.3604,331.8151742668152
39.0766-94.7902,30.5208-90.3064,330.54796269073483
38.1417-85.8637,40.2959-83.0697,329.7612760620117
35.8406-80.8799,35.3292-80.8049,329.19540579833983
39.0766-94.7902,39.1122-94.6664,325.65818735132217
39.0766-94.7902,39.4204-92.4344,324.8978678184509
37.7553-100.026,33.784-118.259,324.78953432617186
39.0766-94.7902,37.1438-84.0784,323.6824445024967
40.8556-96.713,47.2507-122.412,320.8584362792969
39.0766-94.7902,29.8169-95.5231,320.08574920654297
33.455-84.1721,35.7599-81.3301,311.0844361175537
41.8857-88.3196,41.8138-89.7054,310.8006984693527
41.8452-88.31,41.0313-93.77,310.63013017578123
40.5693-75.5889,41.507-72.9049,308.4865731109619
40.5693-75.5889,39.7531-75.3269,308.27420037231445
41.8857-88.3196,40.2959-83.0697,308.03168725585937
38.1417-85.8637,41.2993-74.1405,307.9644197265625
39.0766-94.7902,31.6784-85.8242,303.35506873168947
35.8406-80.8799,37.2888-80.0782,303.0745839447021
33.455-84.1721,35.6051-82.3167,302.46257193603515
41.8857-88.3196,42.6018-87.8762,301.60165458374024
32.7984-97.354,37.7237-121.447,300.8047836425781
39.0766-94.7902,41.8999-87.8598,299.8548603271484
34.0018-117.528,33.4264-112.283,296.3315786300659
35.8406-80.8799,25.7771-80.2022,296.1538655273437
41.8857-88.3196,39.9542-84.1768,295.9918706932068
41.8857-88.3196,41.6854-85.6941,295.1192882138491
35.8406-80.8799,28.3007-82.697,293.7878490234375
41.8857-88.3196,41.5116-88.057,293.5603564453125
39.0766-94.7902,32.3509-97.4103,286.97637773742673
39.0766-94.7902,36.6023-95.9754,284.8338991521835
39.0766-94.7902,29.6959-95.3573,283.9508360351562
32.7984-97.354,32.3509-97.4103,283.73622400665283
33.455-84.1721,30.2265-81.9836,283.6010523651123
40.5693-75.5889,40.6826-80.2321,282.77558984374997
41.2052-95.9554,29.6668-95.0449,282.20878496093746
33.455-84.1721,33.528-80.5813,281.12600336608887
40.974-91.572,35.2286-97.4563,278.3588494140625
41.6887-112.223,35.1341-106.641,278.2676756835937
41.8857-88.3196,38.2589-85.5557,276.6852227495193
39.0766-94.7902,40.2361-76.9308,274.91999111328124
32.7984-97.354,31.0995-97.3577,274.00637719340324
39.0766-94.7902,44.9216-93.4086,273.77772277359963
40.5693-75.5889,41.0108-76.8365,272.97489648132324
39.0766-94.7902,38.6415-94.3413,271.8941545730591
35.8406-80.8799,40.7913-76.5639,271.44293359375
33.455-84.1721,35.3292-80.8049,270.9163728464126
40.974-91.572,39.1264-95.733,268.5896596191406
39.9266-83.8128,41.4127-81.5607,267.7180610595703
35.8406-80.8799,38.1906-85.5535,267.4494546875
41.8857-88.3196,41.9351-89.0689,267.1893949707031
39.0766-94.7902,43.9844-90.4842,266.7162226715088
41.8857-88.3196,41.8999-87.8598,266.68178384628294
35.8406-80.8799,33.9914-81.2505,264.72841025390625
39.0766-94.7902,35.4707-86.4597,264.0582487049103
41.8857-88.3196,37.1438-84.0784,263.7456122375488
39.0766-94.7902,37.9822-84.1702,262.59305510253904
40.974-91.572,42.8843-87.8992,262.3541663574219
33.455-84.1721,35.6827-80.4771,261.10705019531247
42.0193-95.3538,42.484-90.5894,260.20293840122224
