iata,name,city,state,country,latitude,longitude
Z00693,"3rd Party-Vega Baja-PR","Vega Baja",PR,USA,18.4407,-66.3921
Z00694,"3rd Party-Vega Baja-PR","Vega Baja",PR,USA,18.4431,-66.3983
Z00920,"3rd Party-San Juan-PR","San Juan",PR,USA,18.4124,-66.0907
Z00936,"3rd Party-San Juan-PR","San Juan",PR,USA,18.4105,-66.0605
Z00959,"3rd Party-Bayamon-PR",Bayamon,PR,USA,18.3871,-66.1594
Z00962,"3rd Party-Catano-PR",Catano,PR,USA,18.4377,-66.1385
Z00963,"3rd Party-Catano-PR",Catano,PR,USA,18.4432,-66.1393
Z00965,"3rd Party-Guaynabo-PR",Guaynabo,PR,USA,18.4315,-66.117
Z00982,"3rd Party-Carolina-PR",Carolina,PR,USA,18.4093,-65.9931
Z01013,"3rd Party-Chicopee-MA",Chicopee,MA,USA,42.1615,-72.6032
Z01020,"3rd Party-Chicopee-MA",Chicopee,MA,USA,42.176,-72.5726
Z01030,"3rd Party-Feeding Hills-MA","Feeding Hills",MA,USA,42.0708,-72.6725
Z01038,"3rd Party-Hatfield-MA",Hatfield,MA,USA,42.3752,-72.6083
Z01085,"3rd Party-Westfield-MA",Westfield,MA,USA,42.1336,-72.7503
Z01101,"3rd Party-Springfield-MA",Springfield,MA,USA,42.1707,-72.6048
Z01104,"3rd Party-Springfield-MA",Springfield,MA,USA,42.1303,-72.5734
Z01201,"3rd Party-Pittsfield-MA",Pittsfield,MA,USA,42.4538,-73.254
Z01240,"3rd Party-Lenox-MA",Lenox,MA,USA,42.3624,-73.2768
Z01464,"3rd Party-Shirley-MA",Shirley,MA,USA,42.5593,-71.6456
Z01581,"3rd Party-Westborough-MA",Westborough,MA,USA,42.2698,-71.6141
Z01590,"3rd Party-Sutton-MA",Sutton,MA,USA,42.131,-71.7512
Z01606,"3rd Party-Worcester-MA",Worcester,MA,USA,42.3113,-71.7953
Z01610,"3rd Party-Worcester-MA",Worcester,MA,USA,42.2485,-71.8079
Z01730,"3rd Party-Bedford-MA",Bedford,MA,USA,42.4967,-71.275
Z01752,"3rd Party-Marlborough-MA",Marlborough,MA,USA,42.3509,-71.5475
Z01801,"3rd Party-Woburn-MA",Woburn,MA,USA,42.4845,-71.1521
Z01810,"3rd Party-Andover-MA",Andover,MA,USA,42.6469,-71.1513
Z01843,"3rd Party-Lawrence-MA",Lawrence,MA,USA,42.6911,-71.1608
Z01844,"3rd Party-Methuen-MA",Methuen,MA,USA,42.73,-71.1794
Z01876,"3rd Party-Tewksbury-MA",Tewksbury,MA,USA,42.6017,-71.2207
Z01879,"3rd Party-Tyngsboro-MA",Tyngsboro,MA,USA,42.6716,-71.4169
Z01887,"3rd Party-Wilmington-MA",Wilmington,MA,USA,42.5586,-71.1703
Z01905,"3rd Party-Lynn-MA",Lynn,MA,USA,42.4649,-70.9741
Z01913,"3rd Party-Amesbury-MA",Amesbury,MA,USA,42.8544,-70.9355
Z01923,"3rd Party-Danvers-MA",Danvers,MA,USA,42.5698,-70.9432
Z01960,"3rd Party-Peabody-MA",Peabody,MA,USA,42.534,-70.9615
Z01970,"3rd Party-Salem-MA",Salem,MA,USA,42.5168,-70.8985
Z02019,"3rd Party-Bellingham-MA",Bellingham,MA,USA,42.0751,-71.4795
Z02021,"3rd Party-Canton-MA",Canton,MA,USA,42.1668,-71.1343
Z02026,"3rd Party-Dedham-MA",Dedham,MA,USA,42.2446,-71.1655
Z02035,"3rd Party-Foxboro-MA",Foxboro,MA,USA,42.0614,-71.2423
Z02043,"3rd Party-Hingham-MA",Hingham,MA,USA,42.2257,-70.8876
Z02062,"3rd Party-Norwood-MA",Norwood,MA,USA,42.186,-71.2017
Z02072,"3rd Party-Stoughton-MA",Stoughton,MA,USA,42.1254,-71.1063
Z02090,"3rd Party-Westwood-MA",Westwood,MA,USA,42.2129,-71.2074
Z02115,"3rd Party-Boston-MA",Boston,MA,USA,42.3431,-71.0927
Z02118,"3rd Party-Boston-MA",Boston,MA,USA,42.3387,-71.0728
Z02128,"3rd Party-Boston-MA",Boston,MA,USA,42.3783,-71.0255
Z02129,"3rd Party-Charlestown-MA",Charlestown,MA,USA,42.3786,-71.0649
Z02138,"3rd Party-Cambridge-MA",Cambridge,MA,USA,42.3791,-71.128
Z02139,"3rd Party-Cambridge-MA",Cambridge,MA,USA,42.3643,-71.1043
Z02143,"3rd Party-Somerville-MA",Somerville,MA,USA,42.3819,-71.0991
Z02149,"3rd Party-Everett-MA",Everett,MA,USA,42.4099,-71.0522
Z02150,"3rd Party-Chelsea-MA",Chelsea,MA,USA,42.3964,-71.0335
Z02155,"3rd Party-Medford-MA",Medford,MA,USA,42.4198,-71.1094
Z02184,"3rd Party-Braintree-MA",Braintree,MA,USA,42.2096,-70.9997
Z02190,"3rd Party-Weymouth-MA",Weymouth,MA,USA,42.1711,-70.946
Z02210,"3rd Party-Boston-MA",Boston,MA,USA,42.348,-71.0446
Z02322,"3rd Party-Avon-MA",Avon,MA,USA,42.1219,-71.0452
Z02346,"3rd Party-Middleboro-MA",Middleboro,MA,USA,41.8896,-70.8941
Z02349,"3rd Party-Middleboro-MA",Middleboro,MA,USA,41.9705,-70.7014
Z02360,"3rd Party-Plymouth-MA",Plymouth,MA,USA,41.8947,-70.62
Z02367,"3rd Party-Plympton-MA",Plympton,MA,USA,41.969,-70.8045
Z02379,"3rd Party-West Bridgewater-MA","West Bridgewater",MA,USA,42.0219,-71.0188
Z02445,"3rd Party-Brookline-MA",Brookline,MA,USA,42.3244,-71.1393
Z02452,"3rd Party-Waltham-MA",Waltham,MA,USA,42.3925,-71.2215
Z02458,"3rd Party-Newton-MA",Newton,MA,USA,42.3547,-71.1881
Z02461,"3rd Party-Newton Highlands-MA","Newton Highlands",MA,USA,42.3188,-71.2082
Z02481,"3rd Party-Wellesley Hills-MA","Wellesley Hills",MA,USA,42.3133,-71.2765
Z02494,"3rd Party-Needham-MA",Needham,MA,USA,42.2981,-71.2315
Z02657,"3rd Party-Provincetown-MA",Provincetown,MA,USA,42.0534,-70.1895
Z02702,"3rd Party-Assonet-MA",Assonet,MA,USA,41.7922,-71.0645
Z02720,"3rd Party-Fall River-MA","Fall River",MA,USA,41.717,-71.1399
Z02724,"3rd Party-Fall River-MA","Fall River",MA,USA,41.6842,-71.1744
Z02740,"3rd Party-New Bedford-MA","New Bedford",MA,USA,41.6348,-70.9375
Z02745,"3rd Party-New Bedford-MA","New Bedford",MA,USA,41.6928,-70.9326
Z02771,"3rd Party-Seekonk-MA",Seekonk,MA,USA,41.8434,-71.3234
Z02780,"3rd Party-Taunton-MA",Taunton,MA,USA,41.9049,-71.1029
Z02882,"3rd Party-Narragansett-RI",Narragansett,RI,USA,41.4325,-71.4635
Z02886,"3rd Party-Warwick-RI",Warwick,RI,USA,41.7055,-71.4512
Z02888,"3rd Party-Warwick-RI",Warwick,RI,USA,41.7481,-71.4098
Z02906,"3rd Party-Providence-RI",Providence,RI,USA,41.8363,-71.3943
Z02908,"3rd Party-Providence-RI",Providence,RI,USA,41.8393,-71.438
Z02920,"3rd Party-Cranston-RI",Cranston,RI,USA,41.7715,-71.4649
Z02921,"3rd Party-Cranston-RI",Cranston,RI,USA,41.7644,-71.5097
Z03054,"3rd Party-Merrimack-NH",Merrimack,NH,USA,42.8581,-71.5122
Z03106,"3rd Party-Hooksett-NH",Hooksett,NH,USA,43.0588,-71.4441
Z03109,"3rd Party-Manchester-NH",Manchester,NH,USA,42.9726,-71.4135
Z03224,"3rd Party-Canterbury-NH",Canterbury,NH,USA,43.3461,-71.5443
Z03229,"3rd Party-Contoocook-NH",Contoocook,NH,USA,43.2042,-71.7071
Z03275,"3rd Party-Suncook-NH",Suncook,NH,USA,43.1525,-71.4365
Z03443,"3rd Party-Chesterfield-NH",Chesterfield,NH,USA,42.8718,-72.4716
Z03570,"3rd Party-Berlin-NH",Berlin,NH,USA,44.4633,-71.1909
Z03745,"3rd Party-Cornish-NH",Cornish,NH,USA,43.4763,-72.3334
Z03801,"3rd Party-Portsmouth-NH",Portsmouth,NH,USA,43.0702,-70.7768
