origin,destination,count
Z18106,Z00963,2
Z18106,Z00965,1
Z18106,Z01013,1
Z18106,Z01020,1
Z18106,Z01038,3
Z18106,Z01085,30
Z18106,Z01101,1
Z18106,Z01104,1
Z18106,Z01201,1
Z18106,Z01240,1
Z18106,Z01581,7
Z18106,Z01606,1
Z18106,Z01610,2
Z18106,Z01730,1
Z18106,Z01752,1
Z18106,Z01801,1
Z18106,Z01810,4
Z18106,Z01844,2
Z18106,Z01876,1
Z18106,Z01879,1
Z18106,Z01887,1
Z18106,Z01913,1
Z18106,Z01960,21
Z18106,Z01970,1
Z18106,Z02019,1
Z18106,Z02026,1
Z18106,Z02035,1
Z18106,Z02043,1
Z18106,Z02062,1
Z18106,Z02072,1
Z18106,Z02090,2
Z18106,Z02115,1
Z18106,Z02118,8
Z18106,Z02128,1
Z18106,Z02129,1
Z18106,Z02138,1
Z18106,Z02139,1
Z18106,Z02143,1
Z18106,Z02149,3
Z18106,Z02155,2
Z18106,Z02184,3
Z18106,Z02190,1
Z18106,Z02210,1
Z18106,Z02322,1
Z18106,Z02346,2
Z18106,Z02367,2
Z18106,Z02445,1
Z18106,Z02452,1
Z18106,Z02458,1
Z18106,Z02461,1
Z18106,Z02481,1
Z18106,Z02494,1
Z18106,Z02702,3
Z18106,Z02720,1
Z18106,Z02724,2
Z18106,Z02740,1
Z18106,Z02745,4
Z18106,Z02771,1
Z18106,Z02780,16
Z18106,Z02886,1
Z18106,Z02888,1
Z18106,Z02906,1
Z18106,Z03109,1
Z18106,Z03224,1
Z18106,Z03229,1
Z18106,Z03275,2
Z18106,Z03443,5
Z18106,Z03745,1
Z18106,Z03825,1
Z18106,Z04062,1
Z18106,Z04074,1
Z18106,Z04090,3
Z18106,Z04092,1
Z18106,Z04104,1
Z18106,Z04106,9
Z18106,Z04211,1
Z18106,Z04240,15
Z18106,Z04330,2
Z18106,Z04401,1
Z18106,Z04945,1
Z18106,Z05001,1
Z18106,Z05301,11
Z18106,Z05446,3
Z18106,Z05655,1
Z18106,Z05701,1
Z18106,Z05753,1
Z18106,Z06002,2
Z18106,Z06026,1
Z18106,Z06067,10
Z18106,Z06074,2
Z18106,Z06095,1
Z18106,Z06101,2
Z18106,Z06108,1
Z18106,Z06109,1
Z18106,Z06110,1
Z18106,Z06120,2
Z18106,Z06241,1
Z18106,Z06269,1
Z18106,Z06360,7
Z18106,Z06389,6
Z18106,Z06405,1
Z18106,Z06410,17
Z18106,Z06451,2
Z18106,Z06457,1
Z18106,Z06460,1
Z18106,Z06473,3
Z18106,Z06477,2
Z18106,Z06492,4
Z18106,Z06516,2
Z18106,Z06606,1
Z18106,Z06810,1
Z18106,Z06824,1
Z18106,Z07001,1
Z18106,Z07004,1
Z18106,Z07006,1
Z18106,Z07008,8
Z18106,Z07014,12
Z18106,Z07032,1
Z18106,Z07033,1
Z18106,Z07036,6
Z18106,Z07039,1
Z18106,Z07040,1
Z18106,Z07054,1
Z18106,Z07058,2
Z18106,Z07072,1
Z18106,Z07073,1
Z18106,Z07074,5
Z18106,Z07075,12
Z18106,Z07078,1
Z18106,Z07080,5
Z18106,Z07081,1
Z18106,Z07088,1
Z18106,Z07092,1
Z18106,Z07094,1
Z18106,Z07201,1
Z18106,Z07204,1
Z18106,Z07205,3
Z18106,Z07207,6
Z18106,Z07302,1
Z18106,Z07304,2
Z18106,Z07305,2
Z18106,Z07405,1
Z18106,Z07450,1
Z18106,Z07481,1
Z18106,Z07501,8
Z18106,Z07503,1
Z18106,Z07512,1
Z18106,Z07524,1
Z18106,Z07606,4
Z18106,Z07631,1
Z18106,Z07652,1
Z18106,Z07712,2
Z18106,Z07722,1
Z18106,Z07726,1
Z18106,Z07731,1
Z18106,Z07753,2
Z18106,Z07801,1
Z18106,Z07830,1
Z18106,Z07869,1
Z18106,Z07921,1
Z18106,Z07940,1
Z18106,Z07960,1
Z18106,Z07974,1
Z18106,Z08014,20
Z18106,Z08016,27
Z18106,Z08053,1
Z18106,Z08069,3
Z18106,Z08078,2
Z18106,Z08079,1
Z18106,Z08085,22
Z18106,Z08110,9
Z18106,Z08212,1
Z18106,Z08234,1
Z18106,Z08360,4
Z18106,Z08512,33
Z18106,Z08518,1
Z18106,Z08525,1
Z18106,Z08530,1
Z18106,Z08534,1
Z18106,Z08559,1
Z18106,Z08628,1
Z18106,Z08691,1
Z18106,Z08723,1
Z18106,Z08750,1
Z18106,Z08807,1
Z18106,Z08817,1
Z18106,Z08822,1
Z18106,Z08831,1
Z18106,Z08832,4
Z18106,Z08835,1
Z18106,Z08837,1
Z18106,Z08846,1
Z18106,Z08854,3
Z18106,Z08861,17
Z18106,Z08863,1
Z18106,Z08876,1
Z18106,Z08887,1
Z18106,Z10001,1
Z18106,Z10002,1
Z18106,Z10003,1
Z18106,Z10009,1
Z18106,Z10012,1
Z18106,Z10019,1
Z18106,Z10022,1
Z18106,Z10032,1
Z18106,Z10036,1
Z18106,Z10121,1
Z18106,Z10466,1
Z18106,Z10474,11
Z18106,Z10475,1
Z18106,Z10504,1
Z18106,Z10509,4
Z18106,Z10522,1
Z18106,Z10548,1
Z18106,Z10550,2
Z18106,Z10573,2
Z18106,Z10595,1
Z18106,Z10703,1
Z18106,Z10913,2
Z18106,Z10918,4
Z18106,Z10920,1
Z18106,Z10958,1
Z18106,Z10976,1
Z18106,Z11010,1
Z18106,Z11030,1
Z18106,Z11040,1
Z18106,Z11101,3
Z18106,Z11203,3
Z18106,Z11205,1
Z18106,Z11207,3
Z18106,Z11208,1
Z18106,Z11222,2
Z18106,Z11232,2
Z18106,Z11234,1
Z18106,Z11236,9
Z18106,Z11237,3
Z18106,Z11356,2
Z18106,Z11377,1
Z18106,Z11378,4
Z18106,Z11385,1
Z18106,Z11417,1
Z18106,Z11435,3
Z18106,Z11530,3
Z18106,Z11542,1
Z18106,Z11548,1
Z18106,Z11550,1
Z18106,Z11590,1
Z18106,Z11713,2
Z18106,Z11716,2
Z18106,Z11717,1
Z18106,Z11722,1
Z18106,Z11729,1
Z18106,Z11735,2
Z18106,Z11740,1
Z18106,Z11742,2
Z18106,Z11743,1
Z18106,Z11755,1
Z18106,Z11757,2
Z18106,Z11933,1
Z18106,Z12035,1
Z18106,Z12065,17
Z18106,Z12085,3
