iata,name,city,state,country,latitude,longitude,lineage
Z18106,Lineage-Allentown-PA,Allentown,PA,USA,40.5693,-75.5889,1
Z28625,Lineage-Statesville-NC,Statesville,NC,USA,35.8406,-80.8799,1
Z30253,Lineage-Mcdonough-GA,Mcdonough,GA,USA,33.455,-84.1721,1
Z35954,Lineage-Attalla-AL,Attalla,AL,USA,34.0433,-86.089,1
Z39218,Lineage-Jackson-MS,Jackson,MS,USA,32.2304,-90.1621,1
Z40258,Lineage-Louisville-KY,Louisville,KY,USA,38.1417,-85.8637,1
Z45502,Lineage-Springfield-OH,Springfield,OH,USA,39.9266,-83.8128,1
Z50313,Lineage-Des Moines-IA,Des Moines,IA,USA,41.6376,-93.6164,1
Z51442,Lineage-Denison-IA,Denison,IA,USA,42.0193,-95.3538,1
Z52240,Lineage-Iowa City-IA,Iowa City,IA,USA,41.6499,-91.5202,1
Z52641,Lineage-Mount Pleasant-IA,Mount Pleasant,IA,USA,40.974,-91.572,1
Z60134,Lineage-Geneva-IL,Geneva,IL,USA,41.8857,-88.3196,1
Z60510,Lineage-Batavia-IL,Batavia,IL,USA,41.8452,-88.31,1
Z66111,Lineage-Kansas City-KS,Kansas City,KS,USA,39.0766,-94.7902,1
Z67801,Lineage-Dodge City-KS,Dodge City,KS,USA,37.7553,-100.026,1
Z68107,Lineage-Omaha-NE,Omaha,NE,USA,41.2052,-95.9554,1
Z68137,Lineage-Omaha-NE,Omaha,NE,USA,41.2046,-96.1211,1
Z68521,Lineage-Lincoln-NE,Lincoln,NE,USA,40.8556,-96.713,1
Z68803,Lineage-Grand Island-NE,Grand Island,NE,USA,40.9169,-98.3875,1
Z75182,Lineage-Sunnyvale-TX,Sunnyvale,TX,USA,32.8036,-96.5696,1
Z76106,Lineage-Fort Worth-TX,Fort Worth,TX,USA,32.7984,-97.354,1
Z78503,Lineage-Mcallen-TX,Mcallen,TX,USA,26.172,-98.2504,1
Z79035,Lineage-Friona-TX,Friona,TX,USA,34.6317,-102.727,1
Z79924,Lineage-El Paso-TX,El Paso,TX,USA,31.9017,-106.418,1
Z80631,Lineage-Greeley-CO,Greeley,CO,USA,40.4218,-104.692,1
Z84337,Lineage-Tremonton-UT,Tremonton,UT,USA,41.6887,-112.223,1
Z91752,Lineage-Mira Loma-CA,Mira Loma,CA,USA,34.0018,-117.528,1
Z95336,Lineage-Manteca-CA,Manteca,CA,USA,37.8128,-121.214,1
Z98531,Lineage-Centralia-WA,Centralia,WA,USA,46.7284,-122.951,1
Z00693,3rd Party-Vega Baja-PR,Vega Baja,PR,USA,18.4407,-66.3921,0
Z00694,3rd Party-Vega Baja-PR,Vega Baja,PR,USA,18.4431,-66.3983,0
Z00920,3rd Party-San Juan-PR,San Juan,PR,USA,18.4124,-66.0907,0
Z00936,3rd Party-San Juan-PR,San Juan,PR,USA,18.4105,-66.0605,0
Z00959,3rd Party-Bayamon-PR,Bayamon,PR,USA,18.3871,-66.1594,0
Z00962,3rd Party-Catano-PR,Catano,PR,USA,18.4377,-66.1385,0
Z00963,3rd Party-Catano-PR,Catano,PR,USA,18.4432,-66.1393,0
Z00965,3rd Party-Guaynabo-PR,Guaynabo,PR,USA,18.4315,-66.117,0
Z00982,3rd Party-Carolina-PR,Carolina,PR,USA,18.4093,-65.9931,0
Z01013,3rd Party-Chicopee-MA,Chicopee,MA,USA,42.1615,-72.6032,0
Z01020,3rd Party-Chicopee-MA,Chicopee,MA,USA,42.176,-72.5726,0
Z01030,3rd Party-Feeding Hills-MA,Feeding Hills,MA,USA,42.0708,-72.6725,0
Z01038,3rd Party-Hatfield-MA,Hatfield,MA,USA,42.3752,-72.6083,0
Z01085,3rd Party-Westfield-MA,Westfield,MA,USA,42.1336,-72.7503,0
Z01101,3rd Party-Springfield-MA,Springfield,MA,USA,42.1707,-72.6048,0
Z01104,3rd Party-Springfield-MA,Springfield,MA,USA,42.1303,-72.5734,0
Z01201,3rd Party-Pittsfield-MA,Pittsfield,MA,USA,42.4538,-73.254,0
Z01240,3rd Party-Lenox-MA,Lenox,MA,USA,42.3624,-73.2768,0
Z01464,3rd Party-Shirley-MA,Shirley,MA,USA,42.5593,-71.6456,0
Z01581,3rd Party-Westborough-MA,Westborough,MA,USA,42.2698,-71.6141,0
Z01590,3rd Party-Sutton-MA,Sutton,MA,USA,42.131,-71.7512,0
Z01606,3rd Party-Worcester-MA,Worcester,MA,USA,42.3113,-71.7953,0
Z01610,3rd Party-Worcester-MA,Worcester,MA,USA,42.2485,-71.8079,0
Z01730,3rd Party-Bedford-MA,Bedford,MA,USA,42.4967,-71.275,0
Z01752,3rd Party-Marlborough-MA,Marlborough,MA,USA,42.3509,-71.5475,0
Z01801,3rd Party-Woburn-MA,Woburn,MA,USA,42.4845,-71.1521,0
Z01810,3rd Party-Andover-MA,Andover,MA,USA,42.6469,-71.1513,0
Z01843,3rd Party-Lawrence-MA,Lawrence,MA,USA,42.6911,-71.1608,0
Z01844,3rd Party-Methuen-MA,Methuen,MA,USA,42.73,-71.1794,0
Z01876,3rd Party-Tewksbury-MA,Tewksbury,MA,USA,42.6017,-71.2207,0
Z01879,3rd Party-Tyngsboro-MA,Tyngsboro,MA,USA,42.6716,-71.4169,0
Z01887,3rd Party-Wilmington-MA,Wilmington,MA,USA,42.5586,-71.1703,0
Z01905,3rd Party-Lynn-MA,Lynn,MA,USA,42.4649,-70.9741,0
Z01913,3rd Party-Amesbury-MA,Amesbury,MA,USA,42.8544,-70.9355,0
Z01923,3rd Party-Danvers-MA,Danvers,MA,USA,42.5698,-70.9432,0
Z01960,3rd Party-Peabody-MA,Peabody,MA,USA,42.534,-70.9615,0
Z01970,3rd Party-Salem-MA,Salem,MA,USA,42.5168,-70.8985,0
Z02019,3rd Party-Bellingham-MA,Bellingham,MA,USA,42.0751,-71.4795,0
Z02021,3rd Party-Canton-MA,Canton,MA,USA,42.1668,-71.1343,0
Z02026,3rd Party-Dedham-MA,Dedham,MA,USA,42.2446,-71.1655,0
Z02035,3rd Party-Foxboro-MA,Foxboro,MA,USA,42.0614,-71.2423,0
Z02043,3rd Party-Hingham-MA,Hingham,MA,USA,42.2257,-70.8876,0
Z02062,3rd Party-Norwood-MA,Norwood,MA,USA,42.186,-71.2017,0
Z02072,3rd Party-Stoughton-MA,Stoughton,MA,USA,42.1254,-71.1063,0
Z02090,3rd Party-Westwood-MA,Westwood,MA,USA,42.2129,-71.2074,0
Z02115,3rd Party-Boston-MA,Boston,MA,USA,42.3431,-71.0927,0
Z02118,3rd Party-Boston-MA,Boston,MA,USA,42.3387,-71.0728,0
Z02128,3rd Party-Boston-MA,Boston,MA,USA,42.3783,-71.0255,0
Z02129,3rd Party-Charlestown-MA,Charlestown,MA,USA,42.3786,-71.0649,0
Z02138,3rd Party-Cambridge-MA,Cambridge,MA,USA,42.3791,-71.128,0
Z02139,3rd Party-Cambridge-MA,Cambridge,MA,USA,42.3643,-71.1043,0
Z02143,3rd Party-Somerville-MA,Somerville,MA,USA,42.3819,-71.0991,0
Z02149,3rd Party-Everett-MA,Everett,MA,USA,42.4099,-71.0522,0
Z02150,3rd Party-Chelsea-MA,Chelsea,MA,USA,42.3964,-71.0335,0
Z02155,3rd Party-Medford-MA,Medford,MA,USA,42.4198,-71.1094,0
Z02184,3rd Party-Braintree-MA,Braintree,MA,USA,42.2096,-70.9997,0
Z02190,3rd Party-Weymouth-MA,Weymouth,MA,USA,42.1711,-70.946,0
Z02210,3rd Party-Boston-MA,Boston,MA,USA,42.348,-71.0446,0
Z02322,3rd Party-Avon-MA,Avon,MA,USA,42.1219,-71.0452,0
Z02346,3rd Party-Middleboro-MA,Middleboro,MA,USA,41.8896,-70.8941,0
Z02349,3rd Party-Middleboro-MA,Middleboro,MA,USA,41.9705,-70.7014,0
Z02360,3rd Party-Plymouth-MA,Plymouth,MA,USA,41.8947,-70.62,0
Z02367,3rd Party-Plympton-MA,Plympton,MA,USA,41.969,-70.8045,0
Z02379,3rd Party-West Bridgewater-MA,West Bridgewater,MA,USA,42.0219,-71.0188,0
Z02445,3rd Party-Brookline-MA,Brookline,MA,USA,42.3244,-71.1393,0
Z02452,3rd Party-Waltham-MA,Waltham,MA,USA,42.3925,-71.2215,0
Z02458,3rd Party-Newton-MA,Newton,MA,USA,42.3547,-71.1881,0
Z02461,3rd Party-Newton Highlands-MA,Newton Highlands,MA,USA,42.3188,-71.2082,0
Z02481,3rd Party-Wellesley Hills-MA,Wellesley Hills,MA,USA,42.3133,-71.2765,0
Z02494,3rd Party-Needham-MA,Needham,MA,USA,42.2981,-71.2315,0
Z02657,3rd Party-Provincetown-MA,Provincetown,MA,USA,42.0534,-70.1895,0
Z02702,3rd Party-Assonet-MA,Assonet,MA,USA,41.7922,-71.0645,0
Z02720,3rd Party-Fall River-MA,Fall River,MA,USA,41.717,-71.1399,0
Z02724,3rd Party-Fall River-MA,Fall River,MA,USA,41.6842,-71.1744,0
Z02740,3rd Party-New Bedford-MA,New Bedford,MA,USA,41.6348,-70.9375,0
Z02745,3rd Party-New Bedford-MA,New Bedford,MA,USA,41.6928,-70.9326,0
Z02771,3rd Party-Seekonk-MA,Seekonk,MA,USA,41.8434,-71.3234,0
Z02780,3rd Party-Taunton-MA,Taunton,MA,USA,41.9049,-71.1029,0
Z02882,3rd Party-Narragansett-RI,Narragansett,RI,USA,41.4325,-71.4635,0
Z02886,3rd Party-Warwick-RI,Warwick,RI,USA,41.7055,-71.4512,0
Z02888,3rd Party-Warwick-RI,Warwick,RI,USA,41.7481,-71.4098,0
Z02906,3rd Party-Providence-RI,Providence,RI,USA,41.8363,-71.3943,0
Z02908,3rd Party-Providence-RI,Providence,RI,USA,41.8393,-71.438,0
Z02920,3rd Party-Cranston-RI,Cranston,RI,USA,41.7715,-71.4649,0
Z02921,3rd Party-Cranston-RI,Cranston,RI,USA,41.7644,-71.5097,0
Z03054,3rd Party-Merrimack-NH,Merrimack,NH,USA,42.8581,-71.5122,0
Z03106,3rd Party-Hooksett-NH,Hooksett,NH,USA,43.0588,-71.4441,0
Z03109,3rd Party-Manchester-NH,Manchester,NH,USA,42.9726,-71.4135,0
Z03224,3rd Party-Canterbury-NH,Canterbury,NH,USA,43.3461,-71.5443,0
Z03229,3rd Party-Contoocook-NH,Contoocook,NH,USA,43.2042,-71.7071,0
Z03275,3rd Party-Suncook-NH,Suncook,NH,USA,43.1525,-71.4365,0
Z03443,3rd Party-Chesterfield-NH,Chesterfield,NH,USA,42.8718,-72.4716,0
Z03570,3rd Party-Berlin-NH,Berlin,NH,USA,44.4633,-71.1909,0
Z03745,3rd Party-Cornish-NH,Cornish,NH,USA,43.4763,-72.3334,0
Z03801,3rd Party-Portsmouth-NH,Portsmouth,NH,USA,43.0702,-70.7768,0
Z03825,3rd Party-Barrington-NH,Barrington,NH,USA,43.2081,-71.0436,0
Z04062,3rd Party-Windham-ME,Windham,ME,USA,43.8107,-70.417,0
Z04072,3rd Party-Saco-ME,Saco,ME,USA,43.5273,-70.4517,0
Z04074,3rd Party-Scarborough-ME,Scarborough,ME,USA,43.5832,-70.3527,0
Z04090,3rd Party-Wells-ME,Wells,ME,USA,43.3202,-70.6118,0
Z04092,3rd Party-Westbrook-ME,Westbrook,ME,USA,43.6821,-70.3582,0
Z04101,3rd Party-Portland-ME,Portland,ME,USA,43.6605,-70.2586,0
Z04104,3rd Party-Portland-ME,Portland,ME,USA,43.8465,-70.4648,0
Z04106,3rd Party-South Portland-ME,South Portland,ME,USA,43.6315,-70.2727,0
Z04210,3rd Party-Auburn-ME,Auburn,ME,USA,44.0892,-70.2414,0
Z04211,3rd Party-Auburn-ME,Auburn,ME,USA,44.197,-70.2395,0
Z04220,3rd Party-Buckfield-ME,Buckfield,ME,USA,44.2953,-70.3671,0
Z04240,3rd Party-Lewiston-ME,Lewiston,ME,USA,44.0948,-70.1914,0
Z04241,3rd Party-Lewiston-ME,Lewiston,ME,USA,44.197,-70.2395,0
Z04330,3rd Party-Augusta-ME,Augusta,ME,USA,44.3444,-69.7635,0
Z04401,3rd Party-Bangor-ME,Bangor,ME,USA,44.8178,-68.7895,0
Z04622,3rd Party-Cherryfield-ME,Cherryfield,ME,USA,44.6867,-67.9917,0
Z04945,3rd Party-Jackman-ME,Jackman,ME,USA,45.5877,-70.2726,0
Z05001,3rd Party-White River Junction-VT,White River Junction,VT,USA,43.6629,-72.3682,0
Z05301,3rd Party-Brattleboro-VT,Brattleboro,VT,USA,42.85,-72.6233,0
Z05303,3rd Party-Brattleboro-VT,Brattleboro,VT,USA,42.9947,-72.7204,0
Z05446,3rd Party-Colchester-VT,Colchester,VT,USA,44.5419,-73.1966,0
Z05655,3rd Party-Hyde Park-VT,Hyde Park,VT,USA,44.6109,-72.5997,0
Z05701,3rd Party-Rutland-VT,Rutland,VT,USA,43.6173,-72.9632,0
Z05753,3rd Party-Middlebury-VT,Middlebury,VT,USA,44.006,-73.172,0
Z06002,3rd Party-Bloomfield-CT,Bloomfield,CT,USA,41.8328,-72.7264,0
