origin	destination	count
25.9188-97.4274	26.172-98.2504	2403.17
26.1252-97.4757	26.172-98.2504	41925.9
26.1626-97.9851	26.172-98.2504	3736.3
26.1904-98.153	26.172-98.2504	1353
26.2013-98.1862	26.172-98.2504	1636.25
26.2131-98.2358	26.172-98.2504	84
26.2344-98.342	26.172-98.2504	1648.14
26.2627-98.2308	26.172-98.2504	561
26.3194-98.1909	26.172-98.2504	1074.09
26.3441-98.1801	26.172-98.2504	58
26.4097-98.2242	26.172-98.2504	1369.2
26.4931-99.0072	26.172-98.2504	3977.17
26.9052-99.2186	26.172-98.2504	9468.82
27.6488-99.5337	26.172-98.2504	43846.8
29.3582-98.3198	26.172-98.2504	3840
29.5622-95.2698	26.172-98.2504	23124
29.8252-95.378	26.172-98.2504	2240
30.488-88.2533	26.172-98.2504	39360
30.8177-83.9892	26.172-98.2504	32
30.8836-97.396	26.172-98.2504	7032
31.6948-106.3	26.172-98.2504	44000
31.7824-106.364	26.172-98.2504	13440
32.7303-97.32	26.172-98.2504	32768
32.7599-97.0122	26.172-98.2504	6650.6
32.7714-97.2915	26.172-98.2504	43008
32.8739-96.7092	26.172-98.2504	4096
32.9226-96.8362	26.172-98.2504	41645.5
33.6588-85.8518	26.172-98.2504	9396
33.7324-118.289	26.172-98.2504	1080
33.744-84.5603	26.172-98.2504	29040.5
33.989-118.089	26.172-98.2504	64
33.9988-117.447	26.172-98.2504	42240
34.0002-118.226	26.172-98.2504	41472
34.2849-118.438	26.172-98.2504	41684
34.8256-82.341	26.172-98.2504	40785
35.2495-105.577	26.172-98.2504	42000
35.2799-97.7846	26.172-98.2504	43008
35.3709-82.4945	26.172-98.2504	39622
35.7599-81.3301	26.172-98.2504	9996
35.8253-88.9022	26.172-98.2504	41568
37.6445-120.98	26.172-98.2504	43008
37.9038-94.2182	26.172-98.2504	42000
38.3748-86.3531	26.172-98.2504	43008
38.8318-77.2888	26.172-98.2504	38179
39.1607-84.4545	26.172-98.2504	43008
39.5628-75.0096	26.172-98.2504	43200
39.6692-75.59	26.172-98.2504	42366
39.7846-104.962	26.172-98.2504	38564.5
40.1125-83.7663	26.172-98.2504	32
40.1174-75.0154	26.172-98.2504	43200
40.5825-74.23	26.172-98.2504	40907.4
40.5951-75.4592	26.172-98.2504	43104
40.6363-73.6374	26.172-98.2504	9312
40.7076-74.1788	26.172-98.2504	42480
40.726-73.4415	26.172-98.2504	32
40.7407-73.4863	26.172-98.2504	43520
40.77-73.1138	26.172-98.2504	15360
40.7903-111.94	26.172-98.2504	43008
40.843-111.906	26.172-98.2504	20790
41.8093-87.7105	26.172-98.2504	43008
41.9351-89.0689	26.172-98.2504	41932
42.4795-79.328	26.172-98.2504	42240
42.597-114.819	26.172-98.2504	41600
42.6926-77.8766	26.172-98.2504	41728
42.8232-86.1273	26.172-98.2504	330
42.8814-78.7447	26.172-98.2504	42336
42.9994-87.9434	26.172-98.2504	30944
43.0113-87.9584	26.172-98.2504	43008
43.0383-70.8471	26.172-98.2504	35840
43.2217-78.0439	26.172-98.2504	43008
43.3202-70.6118	26.172-98.2504	42291
43.3393-78.0258	26.172-98.2504	43008
43.7406-88.523	26.172-98.2504	42680
44.3765-89.9077	26.172-98.2504	352
44.4633-71.1909	26.172-98.2504	11200
44.6867-67.9917	26.172-98.2504	42560
44.9009-85.4067	26.172-98.2504	43008
45.4813-122.409	26.172-98.2504	43008
45.9287-122.703	26.172-98.2504	43520
46.235-119.094	26.172-98.2504	43240
47.1842-112.33	26.172-98.2504	43072
29.0227-81.1722	31.9017-106.418	42120
29.3582-98.3198	31.9017-106.418	42
29.6432-82.9903	31.9017-106.418	42000
29.9178-95.4414	31.9017-106.418	25455
29.9911-90.2469	31.9017-106.418	42
30.2793-98.8839	31.9017-106.418	42
30.8177-83.9892	31.9017-106.418	5292
31.6843-106.208	31.9017-106.418	51554
31.6948-106.3	31.9017-106.418	42000
31.8797-106.718	31.9017-106.418	28997.6
32.3252-95.2947	31.9017-106.418	27
32.3478-106.815	31.9017-106.418	1860
32.4941-114.779	31.9017-106.418	42
32.5744-117.056	31.9017-106.418	42
32.6303-97.271	31.9017-106.418	42
32.6855-96.9175	31.9017-106.418	336
32.6947-97.0875	31.9017-106.418	8827.5
32.7199-83.4905	31.9017-106.418	42120
32.729-97.0043	31.9017-106.418	37198.4
32.7599-97.0122	31.9017-106.418	10395
32.8135-79.859	31.9017-106.418	54
32.926-96.8832	31.9017-106.418	42
33.0771-96.7986	31.9017-106.418	42
33.2765-112.187	31.9017-106.418	42000
33.4354-112.2	31.9017-106.418	9703.92
33.4563-112.124	31.9017-106.418	3394
33.5277-117.121	31.9017-106.418	42
33.5498-101.826	31.9017-106.418	33312
33.6987-112.114	31.9017-106.418	81
33.8911-117.273	31.9017-106.418	25455
33.9022-81.0826	31.9017-106.418	2058
33.9428-84.3177	31.9017-106.418	41.36
34.0002-118.226	31.9017-106.418	33660
34.0293-118.242	31.9017-106.418	42
34.0361-117.609	31.9017-106.418	30729.1
35.1796-106.594	31.9017-106.418	27
36.0448-102.012	31.9017-106.418	42160
36.0889-115.139	31.9017-106.418	124
36.1861-94.1937	31.9017-106.418	42
36.2403-86.2927	31.9017-106.418	54
36.2942-95.3029	31.9017-106.418	32222
37.5543-122.27	31.9017-106.418	42
